"","fieldsite","Age","ageclass","Gender","CTL","C6_prev_6","C6_prev_11","C6_prev_12","C6_prev_13","C6_prev_14","C6_prev_15","R4_relig_spirit","PO1_gen_1","PO1_gen_2","threat","R1_comm_risk_1","R1_comm_risk_2","R1_comm_risk_3","R1_comm_risk_4","Vaccinated","WaxWilling","HandWash","HandDisinfect","StayHome","Antibact","MaskFreq","AvoidPublic","Stockup","AltRem","CoverCough","SocDist","selfthreat","famthreat","commthreat","countrythreat","Threat","PO_social","PO_econ","CTL_c","AGE_c","threat_c","selfthreat_c","famthreat_c","commthreat_c","countrythreat_c","religious","spiritual","non_relig"
"1089","CH",46,"40-49","1",28,1,NA,NA,NA,NA,NA,3,2,2,16,4,4,4,4,1,NA,7,7,7,7,7,1,3,6,7,7,4,4,4,4,16,2,2,1.73414634146341,10.9609756097561,3.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,0.370731707317073,0,0,1
"1090","CH",35,"30-39","2",25,3,NA,NA,NA,NA,NA,3,1,6,4,1,1,1,1,1,NA,7,6,7,7,5,3,3,6,7,6,1,1,1,1,4,1,6,-1.26585365853659,-0.0390243902439025,-8.99024390243902,-2.14878048780488,-2.06829268292683,-2.14390243902439,-2.62926829268293,0,0,1
"1091","CH",52,"50-64","1",31,6,NA,NA,NA,NA,NA,2,1,4,5,1,1,1,2,1,NA,6,6,6,1,6,6,1,1,6,6,1,1,1,2,5,1,4,4.73414634146341,16.9609756097561,-7.99024390243902,-2.14878048780488,-2.06829268292683,-2.14390243902439,-1.62926829268293,0,1,0
"1092","CH",55,"50-64","1",20,4,NA,NA,NA,NA,NA,3,2,1,18,4,4,5,5,1,NA,1,1,6,1,2,4,1,1,7,1,4,4,5,5,18,2,1,-6.26585365853659,19.9609756097561,5.00975609756098,0.851219512195122,0.931707317073171,1.85609756097561,1.37073170731707,0,0,1
"1093","CH",35,"30-39","1",25,3,NA,NA,NA,NA,NA,3,4,4,13,3,3,3,4,1,NA,7,6,3,6,7,3,1,1,4,7,3,3,3,4,13,4,4,-1.26585365853659,-0.0390243902439025,0.00975609756097562,-0.148780487804878,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,0,1
"1094","CH",35,"30-39","2",31,7,NA,NA,NA,NA,NA,3,2,2,10,2,2,3,3,1,NA,7,7,4,1,6,7,3,1,6,6,2,2,3,3,10,2,2,4.73414634146341,-0.0390243902439025,-2.99024390243902,-1.14878048780488,-1.06829268292683,-0.14390243902439,-0.629268292682927,0,0,1
"1095","CH",53,"50-64","1",23,6,NA,NA,NA,NA,NA,2,2,5,19,5,4,5,5,1,NA,6,6,6,6,7,6,1,1,3,7,5,4,5,5,19,2,5,-3.26585365853659,17.9609756097561,6.00975609756098,1.85121951219512,0.931707317073171,1.85609756097561,1.37073170731707,0,1,0
"1096","CH",42,"40-49","1",25,3,NA,NA,NA,NA,NA,3,5,3,13,3,4,4,2,1,NA,6,5,3,4,5,3,5,6,5,4,3,4,4,2,13,5,3,-1.26585365853659,6.9609756097561,0.00975609756097562,-0.148780487804878,0.931707317073171,0.85609756097561,-1.62926829268293,0,0,1
"1097","CH",37,"30-39","2",21,3,NA,NA,NA,NA,NA,2,2,2,12,3,3,2,4,1,NA,7,7,6,3,6,3,7,5,7,1,3,3,2,4,12,2,2,-5.26585365853659,1.9609756097561,-0.990243902439024,-0.148780487804878,-0.0682926829268293,-1.14390243902439,0.370731707317073,0,1,0
"1098","CH",40,"40-49","1",31,2,NA,NA,NA,NA,NA,3,1,1,12,3,3,3,3,1,NA,7,7,3,1,7,2,5,7,5,5,3,3,3,3,12,1,1,4.73414634146341,4.9609756097561,-0.990243902439024,-0.148780487804878,-0.0682926829268293,-0.14390243902439,-0.629268292682927,0,0,1
"1099","CH",48,"40-49","1",26,2,NA,NA,NA,NA,NA,3,2,3,9,2,2,3,2,1,NA,6,1,1,1,2,2,1,1,7,6,2,2,3,2,9,2,3,-0.265853658536585,12.9609756097561,-3.99024390243902,-1.14878048780488,-1.06829268292683,-0.14390243902439,-1.62926829268293,0,0,1
"1100","CH",40,"40-49","1",31,1,NA,NA,NA,NA,NA,2,2,2,18,5,5,4,4,1,NA,7,7,3,6,6,1,2,2,2,3,5,5,4,4,18,2,2,4.73414634146341,4.9609756097561,5.00975609756098,1.85121951219512,1.93170731707317,0.85609756097561,0.370731707317073,0,1,0
"1101","CH",44,"40-49","1",31,2,NA,NA,NA,NA,NA,3,2,2,10,3,2,3,2,1,NA,7,7,3,1,7,2,3,1,7,7,3,2,3,2,10,2,2,4.73414634146341,8.9609756097561,-2.99024390243902,-0.148780487804878,-1.06829268292683,-0.14390243902439,-1.62926829268293,0,0,1
"1102","CH",35,"30-39","1",27,3,NA,NA,NA,NA,NA,3,4,3,14,4,3,3,4,1,NA,6,6,5,1,7,3,4,1,5,6,4,3,3,4,14,4,3,0.734146341463415,-0.0390243902439025,1.00975609756098,0.851219512195122,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,0,1
"1103","CH",57,"50-64","1",34,7,NA,NA,NA,NA,NA,1,6,6,17,4,4,4,5,0,2,7,7,7,1,7,7,7,7,7,7,4,4,4,5,17,6,6,7.73414634146341,21.9609756097561,4.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,1.37073170731707,1,0,0
"1104","CH",44,"40-49","1",23,1,NA,NA,NA,NA,NA,3,3,3,8,2,2,2,2,0,6,6,7,7,7,7,1,7,1,7,7,2,2,2,2,8,3,3,-3.26585365853659,8.9609756097561,-4.99024390243902,-1.14878048780488,-1.06829268292683,-1.14390243902439,-1.62926829268293,0,0,1
"1105","CH",39,"30-39","2",29,1,NA,NA,NA,NA,NA,2,2,2,16,4,4,4,4,1,NA,7,7,2,6,7,1,3,3,7,3,4,4,4,4,16,2,2,2.73414634146341,3.9609756097561,3.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,0.370731707317073,0,1,0
"1106","CH",50,"50-64","2",23,2,NA,NA,NA,NA,NA,2,2,5,19,5,5,4,5,1,NA,7,7,7,6,7,2,6,6,6,6,5,5,4,5,19,2,5,-3.26585365853659,14.9609756097561,6.00975609756098,1.85121951219512,1.93170731707317,0.85609756097561,1.37073170731707,0,1,0
